Название,Адрес,Время работы,Телефон,Широта,Долгота
ADEL Аптека N1 2-й категории ЗАО Аптека групп Север,"Витебск, ул. Ленина, 6","08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(044) 5034264,55.185417,30.204033
ADEL Аптека N1 ОДО Амадей,"Гомель, пр-т Победы, 8-54","09.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(044) 5034264,52.434011,31.003788
ADEL Аптека N11 ООО Аптека групп Центр,"Минск-Фрунзенский, м. Пушкинская, выход на гостиницу Орбиту","07.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.",(044) 5034264,53.909583,27.496500
ADEL Аптека N12 ЗАО Аптека групп Север,"Витебск, ул. Новооршанская, 4, медцентр CityClinic","08.30-21.00, пн.–пт.; 09.00-16.00, сб.; 09.00-16.00, вс.",(044) 5034264,55.165235,30.230618
ADEL Аптека N12 ООО Аптека групп Центр,"Минск-Советский, ул. Сурганова, 47Б, МЦ Нордин, 1 этаж","08.00-21.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",(044) 5034264,53.927183,27.588100
ADEL Аптека N14 ЗАО Аптека групп Юг,"Могилев, ул. Первомайская, 69А/41","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(044) 5034264,53.908110,30.340608
ADEL Аптека N15 ЗАО Аптека групп Юг,"Могилев, ул. Первомайская, 42","08.00-21.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.",(044) 5034264,53.910069,30.340385
ADEL Аптека N18 ООО Аптека групп Центр,"Минск-Московский, ул. Мясникова, 35","08.00-20.00, пн.–пт.; 10.00-19.00, сб.; выходной, вс.",(044) 5034264,53.897667,27.543950
ADEL Аптека N2 ЗАО Аптека групп Север,"Витебск, ул. Ленина, 48-53","08.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(044) 5034264,55.198143,30.206640
ADEL Аптека N20 ООО Аптека групп Запад,"Брест, ул. Гоголя, 83","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(044) 5034264,52.093721,23.706855
ADEL Аптека N20 ООО Аптека групп Центр,"Минск-Первомайский, ул. Кирилла Туровского, 4-264","10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-20.00, вс.",(044) 5034264,53.931520,27.654052
ADEL Аптека N29 ООО Аптека групп Запад,"Гродно, ул. Виленская, 2, админ-торг. комплекс На Виленской","09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",(044) 5034264,53.682559,23.831981
ADEL Аптека N3 ЗАО Аптека групп Север,"Витебск, пр-т Строителей, 11, маг. Палас","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(044) 5034264,55.170946,30.214235
ADEL Аптека N37 ОДО Амадей,"Гомель, пр-т Речицкий, 5В-5, ТЦ Мандарин Плаза","10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(044) 5034264,52.417464,30.961304
ADEL Аптека N43 ЗАО Аптека групп Север,"Полоцк, ш. Вильнюсское, 1/2, ТЦ Манеж","10.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",(044) 5034264,55.472580,28.749069
ADEL Аптека N48 ЗАО Аптека групп Юг,"Пинск, пр-т Жолтовского, 22-107, рядом с лаб. Helix","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(044) 5034264,52.135144,26.068822
ADEL Аптека N49 ООО Аптека групп Центр,"Минск-Первомайский, д. Копище, ул. Авиационная, 8-105","09.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(044) 5034264,53.959840,27.663826
ADEL Аптека N50 ООО Аптека групп Запад,"Брест, ул. Махновича, 14","09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",(044) 5034264,52.071323,23.706145
ADEL Аптека N61 ООО Аптека групп Центр,"Минск-Первомайский, пр-т Независимости, 179-7, ТЦ Спектр, главный вход 1 этаж","08.00-23.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(044) 5034264,53.946317,27.688424
ADEL Аптека N65 ООО Аптека групп Центр,"Минск-Московский, пр-т Дзержинского, 19","09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",(044) 5034264,53.886132,27.516089
ADEL Аптека N69 ООО Аптека групп Центр,"Минск-Московский, пр-т Дзержинского, 3Б-3, ТЦ Океан","09.00-22.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",(044) 5034264,53.891614,27.527435
ADEL Аптека N71 ООО Аптека групп Центр,"Минск-Первомайский, ул. Макаенка, 11, маг. Санта","10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",(044) 5034264,53.921340,27.628244
