Название аптеки,Адрес,Телефон,Время работы,Цена
Могилевское РУП Фармация Аптека N116,"Бобруйск, ул. 50 лет ВЛКСМ, 13",(0225) 434898,"08.00-16.30, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12:00-12:30;
Праздничные дни: выходной;",
Добрыя Леки-Эканом Аптека N19 ООО Аптека групп Центр,"Минск-Первомайский, пр-т Независимости, 102",(044) 5034264,"09.00-21.00, пн.–пт.; 10.00-18.00, сб.; выходной, вс.",
Добрыя Леки Аптека N24 ООО Аптека групп Запад,"Брест, ул. Московская, 329, маг. Копеечка",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Медпростор Салон медтехники и ортопедии N37 ООО Пролайф,"Минск-Московский, ул. Розы Люксембург, 110",(044) 7600441,"08.00-17.30, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12:30-13:00;",
Искамед ООО Аптека N118,"Мозырь, б-р Юности, 59А, ТЦ Бульвар",(0236) 215955,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.; Санитарные часы: первый понедельник каждого месяца с 8:00 до 10:00;",
Зялёная крама Торговый объект N5 ООО Ирина-Фарм,"Минск-Центральный, пр-т Победителей, 9, ТРЦ Galleria Minsk, 3 этаж, возле маг. CAPRICE",7822 - А1+mts,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Витвар ООО Аптека N9,"Минск-Фрунзенский, ул. Сухаревская, 16",(017) 3779068,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Санитарные часы: первый вторник каждого месяца с 9:00 до 12:00;",
Медвакс СЗАО Аптека N3,"Минск-Центральный, ул. Мельникайте, 16",(017) 3007506,"8.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-17.00, вс.",
Моя Аптека ООО Аптека N96,"Гродно, пр-т Янки Купалы, 24-101",(0152) 717100,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарный день: последний понедельник месяца с 09:00 до 13:00;",
Медвакс СЗАО Аптека N11,"Минск-Октябрьский, ул. Свердлова, 26",(017) 3376712,"8.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-17.00, вс.",
Радикс Аптека N3 ООО Радикс-С,"Минск-Фрунзенский, ул. Бурдейного, 11",(017) 3650933,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",
InLek Аптека N16 ОДО ДКМ-ФАРМ,"Минск-Московский, ул. Грушевская, 21-211, маг. Санта",(017) 2403086,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",
Медвакс СЗАО Аптека N40,"Минск-Октябрьский, ул. Льва Толстого, 1, ТЦ Минск Сити Молл",(017) 3594822,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.; Санитарные часы: второй вторник каждого месяца;",
Могилевское РУП Фармация Аптека N115,"Бобруйск, ул. 50 лет ВЛКСМ, 18, Пол-ка №6",(0225) 727646,"07.30-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Брестское РУП Фармация Аптека N179,"Пружаны, ул. Костякова, 60-5, в здании Коммунальника",(01632) 71210,"выходной, пн.; 10.00-18.00, вт.; 10.00-18.00, ср.; 10.00-18.00, чт.; 10.00-18.00, пт.; 10.00-18.00, сб.; выходной, вс.; Праздничные дни: выходной;",
АльфаАптека Аптека N13 Беллерофон ООО,"Минск-Советский, ул. Веры Хоружей, 25-5",(017) 2404236,"10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-19.00, вс.; Санитарные часы: третий понедельник каждого месяца с 10:00 до 12:00;",
АльфаАптека Аптека N8 ОДО Аленфарм плюс,"Минск-Фрунзенский, ул. Каменногорская, 3",(017) 2340885,"09.00-23.00, пн.–пт.; 09.00-23.00, сб.; 09.00-23.00, вс.; Санитарные часы: первый четверг каждого месяца с 9:00 до 11:00;",
Витебское УП Фармация Аптека N33,"Толочин, г.п. Коханово, ул. Микрорайон, 21, рядом с больницей",(02136) 23578,"08.00-20.00, пн.–пт.; 09.00-16.00, сб.; выходной, вс.; Праздничные дни: 9:00-16:00;",
ADEL Аптека N15 ЗАО Аптека групп Юг,"Могилев, ул. Первомайская, 42",(044) 5034264,"08.00-21.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.",
Плесид ООО Аптека N4,"Минск-Первомайский, ул. Калиновского, 66А-71, ТЦ Восток",(044) 5074504,"09.00-20.00, пн.–пт.; 10.00-20.00, сб.; 10.00-18.00, вс.",
Добрыя Леки Аптека N1 4-й категории ЗАО Аптека групп Север,"Витебск, пр-т Фрунзе, 71А",моб. 5355757,"08.00-21.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Зялёная крама Торговый объект N756 ООО Ирина-Фарм,"Сморгонь, ул. Якуба Коласа, 80Г-1, ТРЦ ZOSS, оc-ок на 1 этаже",7822 - А1+mts,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Столичная Аптека N19 СП Самбест ООО,"Минск-Советский, пр-т Независимости, 58А-31",(017) 3795869,"07.30-21.00, пн.–пт.; 08.00-21.00, сб.; 09.00-20.00, вс.",
Доминантафарм ОДО Аптека N5,"Минск-Партизанский, ул. Фрунзе, 3-1",(017) 2717411,"09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-18.00, вс.; Санитарный день каждый второй четверг с 09.00-14.00",
Новамедика Аптека N6,"Минск-Партизанский, ул. Холмогорская, 51",(017) 3179940,"09.00-19.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарный день - 3-й четверг месяца; Праздничные дни: 10:00-18:00;",
Искамед ООО Аптека N12,"Орша, ул. Ленина, 13-10",(0216) 530995,"08.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: четвертый четверг каждого месяца с 8:00 до 10:00;",
ФармОстров ООО Аптека N22,"Гомель, ул. Богданова, 7-161",(0232) 290334,"08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.",
Брестское РУП Фармация Аптека N117,"Дрогичин, д. Радостово, ул. Восточная, 8, в здании больницы",(01644) 58641,"09.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздн. дни: выходной;",
АльфаАптека Аптека N5 ОДО Салюслайн,"Гродно, ул. Суворова, 13",(0152) 397906,"09.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-18.00, вс.; Санитарные часы: четвертый четверг месяца с 9.00 до 11.00;",
АльфаАптека Аптека N6 Беллерофон ООО,"Минск-Фрунзенский, ул. Бельского, 2, пом. 3Н",(017) 2212612,"08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 08.00-22.00, вс.; Санитарные часы: третье воскресенье месяца с 8.00 до 10.00;",
Добрыя Леки Аптека N38 ЗАО Аптека групп Юг,"Светлогорск, м-н Молодежный, 20А",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Аптекарь Аптека-53 ОДО Аптека N13,"Ольшаны, ул. Школьная, 6",(01655) 55998,"08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Санчасы: последний четверг месяца 15:00 - 17:00;",
АльфаАптека Аптека N20 ГаленаФарм ООО,"Мозырь, б-р Юности, 37Б-4",(0236) 214176,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарный день: первый понедельник с 9.00 до 11.00 месяца;",
Гомельское УП Фармация Аптека N1/3,"Гомель, ул. Свиридова, 83А-4",(0232) 507254,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Перерыв: 13:00-13:30; Санитарные часы: четвертая пятница каждого месяца с 8:00 до 12:00;",
Лигматон ООО Аптека N15,"Шклов, ул. Гончарная, 47",(02239) 77770,"10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.; Санитарные часы: второй вторник месяца с 9.00 до 12.00",
Аптекарь Аптека-53 ОДО Аптека N8 (косметика),"Минск-Советский, Минский р-н, пересечение Логойский тр-т и МКАД, ТРЦ Экспобел",(017) 2379491,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Добрыя Леки Аптека N4 Либерти-фарм ООО,"Слуцк, ул. Борисовца, 28, маг. Соседи",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Брестское РУП Фармация Березовская ЦРА N18,"Береза, ул. Красноармейская, 30",(01643) 50841,"08.00-21.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздничные дни: 9.00 - 17.00;",
Добрыя Леки Аптека N62 ООО Аптека групп Запад,"Барановичи, ул. Промышленная, 16-2",моб. 5355757,"11.00-19.00, пн.–пт.; выходной, сб.; выходной, вс.",
БелЛекоЦентр РУП Государственная аптека N12,"Минск-Ленинский, ул. Красноармейская, 8",(017) 3688554,"08.00-21.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Санитарный день: третий вторник месяца",
Плесид ООО Аптека N3,"Минск-Фрунзенский, пр-т Пушкина, 12А",(044) 5074503,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Искамед ООО Аптека N70,"Фаниполь, ул. Зеленая, 2Г",(01716) 94111,"09.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Санитарные часы: четвертый вторник каждого месяца с 9:00 до 12:00;",
Добрыя Леки Аптека N83 ООО Аптека групп Центр,"Заславль, Петришковский с/с, 6-район, маг. Гиппо",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Добрыя Леки Аптека N80 ЗАО Аптека групп Юг,"Мозырь, аг. Криничный, ул. Школьная, 2Д",моб. 5355757,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Белана ООО ПКФ Аптека N14,"Мосты, ул. 30 лет ВЛКСМ, 18, маг. Санта",(01515) 32013,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: последнее воскресенье месяца 19.00-21.00",
Добрыя Леки Аптека N66 ООО Аптека групп Центр,"Молодечно, ул. Великий Гостинец, 80-56",моб. 5355757,"08.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",
Ледиком ООО Аптека N2,"Борисов, ул. Галицкого, 21",(0177) 976367,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Обед 14:00 - 14:30;",
Добрыя Леки Аптека N38 ООО Аптека групп Запад,"Дрогичин, ул. Октябрьская, 31",моб. 5355757,"09.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
Белфармация Аптека N25 (филиал 6),"Минск-Первомайский, ул. Козлова, 15-12",(017) 2602672,"08.00-20.00, пн.–пт.; 10.00-17.00, сб.; 10.00-17.00, вс.; Санитарные часы: третья среда каждого месяца с 8:00 до 10:00;",
АльфаАптека Аптека N2 Табина ООО,"Минск-Московский, ул. Немига, 30",(017) 2150675,"07.00-23.00, пн.–пт.; 09.00-23.00, сб.; 09.00-23.00, вс.; Санитарные часы: второй понедельник месяца с 7.00 до 9.00;",
Брестское РУП Фармация Аптека N204,"Микашевичи, ул. Первомайская, 17В, маг. Санта",(01647) 30611,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Белфармация Pharmamall интернет-аптека,"Минск, Доставка курьером, самовывоз",(017) 3909468,"08.00-20.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",
Минская Фармация Аптека N140,"Несвиж, г.п. Городея, ул. Октябрьская, 8",(01770) 37465,"08.00-19.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.; Праздничные дни: 9:00-17:00;",
Брестское РУП Фармация Аптека N54,"Барановичи, аг. Столовичи, ул. Парковая, 3",(0163) 465968,"08.00-16.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Добрыя Леки Аптека N43 ООО Аптека групп Запад,"Волковыск, ул. Франциска Скорины, 11-72, маг. Копеечка",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Добрыя Леки Аптека N38 ЗАО Аптека групп Север,"Глубокое, ул. Московская, 10",моб. 5355757,"08.00-20.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.",
Юнифарм ООО Аптека N42,"Солигорск, ул. Ленинского Комсомола, 17, маг. Ландыш",(044) 5071542,"08.00-21.00, пн.–пт.; 09.00-17.00, сб.; 09.00-17.00, вс.",
Брестское РУП Фармация Аптека N115,"Ганцевичи, аг. Хотыничи, ул. Ганцевичская, 8",(1646) 42619,"09.00-16.00, пн.–пт.; 09.00-14.00, сб.; выходной, вс.; Праздничные дни: выходной;",
Ясса ПКФ ООО Аптека N11,"Минск-Заводской, ул. Селицкого, 87",(017) 3642966,"09.00-21.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",
Гомельское УП Фармация Аптека N168/11,"Светлогорск, ул. Калинина, 35В",(02342) 99663,"09.30-21.30, пн.–пт.; 09.30-21.30, сб.; 09.30-21.30, вс.; Перерыв: 13:30-14:00;",
Брестское РУП Фармация Аптека N218,"Пинск, ул. Завальная, 18, в здании детской поликлиники",(0165) 654760,"08.00-16.30, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:30-14:00; Праздничные дни: выходной;",
Зялёная крама Торговый объект N725 ООО Ирина-Фарм,"Логойск, ул. Победы, 44А, ТЦ Дарида Молл",7822 - А1+mts,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Минская Фармация ЦГА N192,"Жодино, пр-т Мира, 30",(01775) 64295,"08.00-21.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",
АльфаАптека Аптека N23 Не Ска ООО,"Минск-Фрунзенский, ул. Михася Лынькова, 99, маг. Маяк",(017) 3223399,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: второй вторник каждого месяца с 9.00 до 11.00;",
Гомельское УП Фармация Аптека N108,"Петриков, аг. Новоселки, пер. Молодежный, 6",(02350) 90138,"08.00-16.30, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 12:00-12:30;",
Могилевское РУП Фармация Аптека N21,"Могилев, ул. Каштановая, 2-3",(0222) 729373,"07.30-21.00, пн.–пт.; 07.30-21.00, сб.; 07.30-21.00, вс.; Праздничные дни: 9:00-17:30; Перерыв в праздничные дни: 13:00-13:30;",
Белфармация Аптека N81 (филиал 2),"Минск-Московский, ул. Прилукская, 46А, Минский городской клинический центр дерматовенерологии",(017) 2249582,"08.00-20.00, пн.–пт.; выходной, сб.; выходной, вс.; Санитарные часы: четвертая пятница каждого месяца с 18:00 до 20:00;",
