Название аптеки,Адрес,Телефон,Цена
Добрыя Леки Аптека N44 ЗАО Аптека групп Юг,"Речица, ул. Снежкова, 25-48",моб. 5355757,34.06 р.
Добрыя Леки Аптека N61 ЗАО Аптека групп Юг,"Речица, ул. Молодежная, 3Д, маг. Соседи",моб. 5355757,34.06 р.
АльфаАптека Аптека N16 ОДО Аленфарм плюс,"Минск-Первомайский, ул. Гинтовта, 30-2",(017) 3674084,34.11 р.
АльфаАптека Аптека N11 ГаленаФарм ООО,"Брест, пр-т Машерова, 53-107, рядом с маг. Меркурий и МТБанком",(0162) 552203,34.14 р.
АльфаАптека Аптека N19 ГаленаФарм ООО,"Мозырь, б-р Дружбы, 8А",(0236) 224531,34.70 р.
Добрыя Леки Аптека N37 ООО Аптека групп Запад,"Ошмяны, ул. Строителей, 24А, маг. Копеечка",моб. 5355757,от 34.93 р.
Планета Здоровья Аптека N23 ООО Аптека N28,"Слоним, ул. Ершова, 50А",+375156227759,35.99 р.
Планета Здоровья Аптека N45 Доктор Время ООО,"Слоним, пр-т Независимости, 18, Магазин Алми",+375156261957,35.99 р.
АльфаАптека Аптека N15 ОДО Аленфарм-Плюс,"Минск-Советский, ул. Веры Хоружей, 8, Комаровский рынок, пав. 44",(029) 1076923,36.18 р.
Медвакс СЗАО Аптека N10,"Новогрудок, ул. Садовая, 5",(01597) 32511,36.18 р.
Медвакс СЗАО Аптека N21,"Минск-Первомайский, д. Валерьяново, ул. Городская, 5А-1, СОК Лайф Сити",(017) 5120594,36.18 р.
Медвакс СЗАО Аптека N25,"Минск-Октябрьский, аг. Прилуки, Сеницкий с/с, ул. Центральная, 5",(017) 5166004,36.18 р.
Медвакс СЗАО Аптека N39,"Новогрудок, ул. Минская, 1-2",(01597) 40898,36.18 р.
АльфаАптека Аптека N1 Не Ска ООО,"Минск-Московский, пр-т Дзержинского, 119-862",(017) 2401800,36.18 р.
АльфаАптека Аптека N19 Не Ска ООО,"Гомель, ул. Хатаевича, 9, маг. Евроопт",(0232) 539193,36.18 р.
АльфаАптека Аптека N1 Табина ООО,"Минск-Советский, ул. Куйбышева, 57-77",(017) 2439228,36.18 р.
АльфаАптека Аптека N3 Табина ООО,"Минск-Советский, пр-т Независимости, 52-141",(017) 3991209,36.18 р.
АльфаАптека Аптека N13 Беллерофон ООО,"Минск-Советский, ул. Веры Хоружей, 25-5",(017) 2404236,36.18 р.
АльфаАптека Аптека N11 Не Ска ООО,"Молодечно, ул. Великий Гостинец, 143Б-12",(01765) 59231,36.18 р.
АльфаАптека Аптека N8 Табина ООО,"Минск-Советский, ул. Веры Хоружей, 8, Комаровский рынок, 1 этаж, пав. 23",(017) 3371583,36.18 р.
АльфаАптека Аптека N3 Беллерофон ООО,"Минск-Московский, ул. Сергея Есенина, 16, пом. 1Н",(017) 3707221,36.18 р.
АльфаАптека Аптека N13 ОДО Аленфарм плюс,"Минск-Центральный, ул. Леси Украинки, 22",(017) 3736635,36.18 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,Самовывоз при бронировании,(29) 6838787,36.21 р.
Белфармация Аптека N100 (филиал 3),"Минск-Октябрьский, пр-т Мира, 1-1104",(017) 3904528,36.31 р.
Белфармация Аптека N13 (филиал 4),"Минск-Московский, пр-т Независимости, 3-1, пом. 116 ТЦ Столица, верхний уровень, вход со стороны БГПУ и БГУ",(017) 2150811,36.31 р.
Белфармация Аптека N65 (филиал 2),"Минск-Советский, ул. Леонида Беды, 26-91",(017) 2410029,36.31 р.
Доминантафарм ОДО Аптека N4,"Молодечно, ул. Волынца, 12м-2",(0176) 526481,36.36 р.
Моя Аптека ООО Аптека N57,"Новогрудок, ул. Советская, 10-3",(01597) 49792,36.36 р.
Шарлота ОДО Аптека N1,"Молодечно, ул. Виленская, 9А-5",(0176) 530906,36.36 р.
АльфаАптека Аптека N7 БООО СпецАфармация,"Бобруйск, ул. Минская, 105",(022) 5744308,36.36 р.
АльфаАптека Аптека N9 БООО СпецАфармация,"Бобруйск, ул. Минская, 21-1",(0225) 435599,36.36 р.
АльфаАптека Аптека N14 БООО СпецАфармация,"Бобруйск, ул. Социалистическая, 125",(0225) 705477,36.36 р.
Добрыя Леки Аптека N18 ЗАО Аптека групп Север,"Поставы, ул. Ленинская, 1-1",моб. 5355757,36.56 р.
Ясса ПКФ ООО Аптека N16,"Минск-Заводской, ул. Нестерова, 2, маг. N43 Заводского райпищеторга",(017) 3780533,36.60 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Полоцк, Самовывоз при бронировании",(29) 6838787,36.74 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Гродно, Самовывоз при бронировании",(29) 6838787,36.74 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Витебск, Самовывоз при бронировании",(29) 6838787,36.74 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Могилев, Самовывоз при бронировании",(29) 6838787,36.74 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Брест, Самовывоз при бронировании",(29) 6838787,36.74 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Новополоцк, Самовывоз при бронировании",(29) 6838787,36.74 р.
АПТЕЧКА+ Сервис бронирования apte4ka.by,"Гомель, Самовывоз при бронировании",(29) 6838787,36.74 р.
Гомельское УП Фармация Аптека N1/3,"Гомель, ул. Свиридова, 83А-4",(0232) 507254,36.75 р.
Гомельское УП Фармация Аптека N133/2,"Гомель, ул. Пенязькова, 41-192",(0232) 286850,36.75 р.
Гомельское УП Фармация Аптека N175,"Гомель, ул. Минская, 8",(0232) 553389,36.75 р.
Гомельское УП Фармация Аптека N3,"Гомель, ул. Богдана Хмельницкого, 41",(0232) 211461,36.75 р.
Моя Аптека ООО Аптека N101,"Поставы, пл. Ленина, 21-5",(02155) 57775,36.99 р.
АльфаАптека Аптека N21 Не Ска ООО,"Гомель, ул. Интернациональная, 48-154",(0232) 300393,37.35 р.
АльфаАптека Аптека N17 ОДО Меджел,"Островец, ул. Володарского, 45В, маг. Белмаркет",(01591) 29607,37.37 р.
Моя Аптека ООО Аптека N46,"Кобрин, ул. Советская, 129/1-1",(01642) 50415,от 37.38 р.
Новамедика Аптека N13,"Горки, пр-т Интернациональный, 6-34",(0223) 370790,37.48 р.
Новамедика Аптека N15,"Горки, ул. Мира, 35",(02233) 71504,37.48 р.
Новамедика Аптека N2,"Минск-Фрунзенский, ул. Петра Глебки, 64А",(017) 3534075,37.48 р.
Новамедика Аптека N23,"Чашники, ул. Советская, 24А-3",(02133) 62618,37.48 р.
Новамедика Аптека N28,"Смолевичи, аг. Слобода, Озерицко-Слободской с/с, ул. Машерова, 7А",(01776) 62079,37.48 р.
Новамедика Аптека N30,"Воложин, г.п. Ивенец, ул. Заслонова, 2Б",(01772) 67647,37.48 р.
Новамедика Аптека N34,"Заславль, аг. Лошаны, ул. Минская, 3, пом. 16-60",(017) 5110244,37.48 р.
Новамедика Аптека N39,"Минск-Фрунзенский, д. Тарасово, пер. Олимпийский, 117, МЦ Эмбрио",(017) 5083371,37.48 р.
Новамедика Аптека N6,"Минск-Партизанский, ул. Холмогорская, 51",(017) 3179940,37.48 р.
Новамедика Аптека N16,"Мачулищи, ул. Гвардейская, 13",(017) 5161476,37.48 р.
Новамедика Аптека N27,"Минск-Фрунзенский, пер. 2-й Тимошенко, 3-235",(017) 3702419,37.48 р.
Новамедика Аптека N3,"Горки, ул. Дзержинского, 2-62",(02233) 77046,37.48 р.
Новамедика Аптека N7,"Минск-Советский, ул. Платонова, 33, к. 1, пом. 1Н",(017) 3615792,37.48 р.
Планета Здоровья Аптека N35 Доктор Время ООО,"Сморгонь, ул. Советская, 107, маг. Санта",+375159237702,37.52 р.
АльфаАптека Аптека N9 ГаленаФарм ООО,"Брест, пр-т Машерова, 23-3",(0162) 355585,37.70 р.
Эклиния ООО Аптека N3,"Минск-Первомайский, ул. Филимонова, 53, 24-я городская пол-ка",(017) 3198261,37.80 р.
Ясса ПКФ ООО Аптека N11,"Минск-Заводской, ул. Селицкого, 87",(017) 3642966,37.80 р.
Доминантафарм ОДО Аптека N24,"Гродно, ул. Южная, 25-69",(0152) 552455,37.90 р.
Доминантафарм ОДО Аптека N27,"Гродно, ул. Фолюш, 15/192-90",(0152) 419537,37.90 р.
Доминантафарм ОДО Аптека N29,"Сморгонь, ул. Советская, 5",(01592) 29486,37.90 р.
АльфаАптека Аптека N16 Не Ска ООО,"Гомель, ул. Свердлова, 3Б-3",(0232) 291940,38.18 р.
Планета Здоровья Аптека N27 ИООО АБФармация,"Рогачев, ул. Ленина, 62-22А",+375233936422,38.28 р.
